classifier,extractor,auc,accuracy,precision,recall,f1-score
RF,Snowflake-artic-M,0.8369750044444445,0.7613333333333333,0.7760554256196261,0.7613333333333334,0.7581082998781046
XGB,Snowflake-artic-M,0.854926008888889,0.7738666666666667,0.7787031901664324,0.7738666666666667,0.7728813309953919
MLP,Snowflake-artic-M,0.8586034844444443,0.7772,0.7425904317386232,0.7772,0.776060496276386
MLP,Snowflake-artic-M,0.8623424,0.7718666666666667,0.7614773018722749,0.7718666666666667,0.771776590437054
MLP,Snowflake-artic-M,0.8605342222222222,0.7722666666666667,0.755889724310777,0.7722666666666667,0.7720332286928482
MLP,Snowflake-artic-M,0.8628637866666666,0.7766666666666666,0.7620611265471079,0.7766666666666666,0.77649310213679
MLP,Snowflake-artic-M,0.8606126577777777,0.774,0.7636643571978445,0.774,0.7739131464743496
XGB,Snowflake-artic-M,0.8638351644444444,0.786,0.7952283176065416,0.786,0.7843145128192972
XGB,Snowflake-artic-M,0.8683506488888889,0.7945333333333333,0.8028932738478428,0.7945333333333333,0.7931057482840129
XGB,Snowflake-artic-M,0.8531680711111111,0.7774666666666666,0.7835438506764613,0.7774666666666668,0.7762678561441726
XGB,Snowflake-artic-M,0.8623406577777777,0.7841333333333333,0.7884548953462358,0.7841333333333333,0.7833217780537269
XGB,Snowflake-artic-M,0.8998121935001907,0.8189600870411727,0.827090872678411,0.8180382018215436,0.8175093788388486
XGB,Snowflake/arctic-embed-m,0.8971978365551789,0.8156387791330241,0.8233944101770019,0.8147320176980798,0.8142060588809981
XGB,sentence-transformers/all-distilroberta-v1,0.8919063450401425,0.810714081200252,0.8189502259677242,0.8097722118580597,0.809140794408783
RF,sentence-transformers/all-distilroberta-v1,0.873080339470371,0.7881091450495333,0.7903726345392001,0.7875761466949055,0.7874618116003214
LR,sentence-transformers/all-distilroberta-v1,0.8641493461476786,0.7805646223443853,0.7806949531444456,0.7804044178590883,0.7804497197446094
MLP,sentence-transformers/all-distilroberta-v1,0.88608057774945,0.8025826032182328,0.7602203537257176,0.8015528610354805,0.800883275319059
XGB,sentence-transformers/all-mpnet-base-v2,0.8935461506368165,0.8125178949779533,0.821378391557118,0.8115457930132233,0.8108670601547601
RF,sentence-transformers/all-mpnet-base-v2,0.8539781849116164,0.7737358987573727,0.7846035375158086,0.7725818908260718,0.7710304025485161
LR,sentence-transformers/all-mpnet-base-v2,0.4629521241396778,0.49421634312546525,0.24710817156273263,0.5,0.33075286948856997
MLP,sentence-transformers/all-mpnet-base-v2,0.5,0.49421634312546525,0.0,0.5,0.3269269472737906
XGB,BAAI/bge-base-en-v1.5,0.8910090015411315,0.8119882036305331,0.8204550083365119,0.8110360707561781,0.8103940412389861
RF,BAAI/bge-base-en-v1.5,0.8735782199245881,0.793105422894119,0.7983696632115043,0.7923182045495119,0.7918643115436004
LR,BAAI/bge-base-en-v1.5,0.8718098943227119,0.7898556948977838,0.7912487321864017,0.789432901695261,0.7894162334247599
MLP,BAAI/bge-base-en-v1.5,0.8844776208784226,0.8039139895779649,0.7470705132597821,0.8024884290508423,0.8007146561793709
XGB,BERT-Base,0.9075524088119281,0.824772375880433,0.8256762076569606,0.824455448838763,0.8245330017752919
RF,BERT-Base,0.9088586614133654,0.8259176544694496,0.8268934225057982,0.8255899497947898,0.8256675045681725
LR,BERT-Base,0.9063492589333708,0.823483937467789,0.8239567508580339,0.8232486540987174,0.8233263786808479
MLP,BERT-Base,0.9038440166214539,0.8256027028574701,0.8092172054501736,0.8252315636953462,0.8253840530507149
XGB,DEBERTa,0.9178097045488641,0.8371270686594514,0.8380469317103956,0.8368169291390553,0.8369098937766271
RF,DEBERTa,0.9191437218037722,0.8373131764301667,0.838192077651295,0.8370098522192528,0.8371031809354275
LR,DEBERTa,0.9174387092210264,0.8335767050334993,0.8335684823201717,0.833530088075366,0.833545591856948
MLP,DEBERTa,0.9173468005806787,0.8356382064937296,0.8306574605551397,0.8354948123097619,0.8356001383929663
XGB,distilBERT,0.9094861822649165,0.8282082116474833,0.8300716412756086,0.8277638860449777,0.8278117018134101
RF,distilBERT,0.9102411953781369,0.829009906659795,0.8309726526525884,0.8285550886849611,0.8285999963323445
LR,distilBERT,0.9076011579631889,0.8206064250128844,0.8206100098230553,0.8205415104014122,0.8205654939340039
MLP,distilBERT,0.9069894886310577,0.8235984653266907,0.8113227971422385,0.8233062241345404,0.8234557969595778
SVM,BERT-Base,0.8943333267522765,0.8195327263356812,0.8195074921448923,0.8195132134366443,0.8195102210708582
SVM,DEBERTa,0.9043812095981391,0.834578823798889,0.8346439657292921,0.834478680188071,0.8345233458840825
SVM,distilBERT,0.8970737071097042,0.8199192578594743,0.8199861044612259,0.8198111901896514,0.8198554146034489
ENSEMBLE,BERT-Base,0.90490288639414,0.8255883868751074,0.8267416769296938,0.8252333109003471,0.8253054801430999
